NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,id
Carlos Alberto,Icons,Icons,RB,Gold,93,90,66,81,86,90,87,2217
Carlos Bacca,Villarreal CF,Spain Primera Division,ST,Gold,79,75,62,72,72,75,87,2224
Carlos Eduardo,Al Hilal,Saudi Dawry Jameel League,LM,Gold,81,77,73,82,86,24,63,2234
Carlos Fernández,Granada CF,Spain Primera Division,ST,Gold,75,76,72,58,70,27,76,2239
Carlos Izquierdoz,Buenos Aires,Argentina Primera División ,CB,Gold,78,67,36,52,56,79,79,2254
Carlos Sánchez,West Ham United,England Premier League,CDM,Gold,75,88,67,69,76,29,59,2275
Carlos Salcedo,Tigres U.A.N.L.,Mexico Liga MX,CB,Gold,77,82,49,73,78,72,72,2276
Carlos Soler,Valencia CF,Spain Primera Division,RM,Gold,80,59,67,81,75,74,75,2279
Carlos Tévez,Buenos Aires,Argentina Primera División ,CAM,Gold,78,51,65,67,70,79,82,2283
Carlos Vela,Los Angeles FC,USA Major League Soccer,ST,Gold,86,72,69,86,84,79,78,2286
Carlos Villanueva,Al Ittihad,Saudi Dawry Jameel League,CAM,Gold,76,65,47,54,56,77,75,2289
Carvajal,Real Madrid,Spain Primera Division,RB,Gold,85,80,73,80,78,86,83,2298
Casemiro,Real Madrid,Spain Primera Division,CDM,Gold,87,88,59,82,80,83,80,2301
Casimir Ninga,Angers SCO,France Ligue 1,LW,Gold,79,66,49,66,69,79,78,2303
Cecilio Domínguez,Independiente,Argentina Primera División ,LM,Gold,77,78,76,69,77,30,72,2317
Celso Ortíz,Monterrey,Mexico Liga MX,CDM,Gold,76,62,62,71,73,71,77,2324
Cengiz Ünder,Roma,Italy Serie A,RW,Gold,78,65,51,60,65,77,75,2327
Cenk Tosun,Everton,England Premier League,ST,Gold,77,67,31,52,54,75,83,2330
Cesc Fàbregas,AS Monaco,France Ligue 1,CM,Gold,81,81,72,81,83,70,61,2332
Charles,SD Eibar,Spain Primera Division,ST,Gold,80,72,79,61,75,31,77,2345
Charles Aránguiz,Bayer 04 Leverkusen,Germany 1. Bundesliga,CM,Gold,83,90,79,76,83,36,70,2347
Charlie Austin,West Bromwich Albion,England EFL Championship,ST,Gold,75,74,75,73,76,35,50,2358
Charlie Taylor,Burnley,England Premier League,LB,Gold,76,77,67,74,83,41,67,2371
Cheikhou Kouyaté,Crystal Palace,England Premier League,CDM,Gold,76,68,68,75,76,68,64,2388
Chey Dunkley,Wigan Athletic,England EFL Championship,CB,Gold,78,82,72,73,80,37,70,2399
Chiquinho,SL Benfica,Portugal Liga NOS,CAM,Gold,77,87,62,72,78,70,72,2412
Chris Smalling,Roma,Italy Serie A,CB,Gold,83,79,84,68,81,36,63,2464
Chris Wood,Burnley,England Premier League,ST,Gold,77,67,65,73,75,75,74,2471
Christian Benteke,Crystal Palace,England Premier League,ST,Gold,75,67,62,66,70,76,75,2478
Christian Doidge,Hibernian,Scotland Premiership,ST,Gold,75,91,75,70,74,50,78,2487
Christian Eriksen,Tottenham Hotspur,England Premier League,CAM,Gold,88,66,88,87,83,70,76,2493
Christian Fassnacht,BSC Young Boys,Switzerland Super League,RM,Gold,75,57,35,55,60,76,75,2495
Christian Günter,SC Freiburg,Germany 1. Bundesliga,LB,Gold,75,87,65,70,76,31,51,2498
Christian Kabasele,Watford,England Premier League,CB,Gold,78,41,32,57,55,80,75,2509
Christian Kouamé,Genoa,Italy Serie A,ST,Gold,75,74,38,64,75,73,69,2512
Christian Luyindama,Galatasaray,Turkey Süper Lig,CB,Gold,77,77,73,73,77,68,74,2515
Christian Pulisic,Chelsea,England Premier League,LM,Gold,82,80,83,82,80,58,70,2522
Christian Vieri,Icons,Icons,ST,Gold,90,90,88,85,87,51,77,2536
Christoph Kramer,Borussia M'gladbach,Germany 1. Bundesliga,CDM,Gold,80,64,73,76,80,75,62,2554
Christophe Hérelle,OGC Nice,France Ligue 1,CB,Gold,78,89,75,69,82,36,62,2564
Christopher Nkunku,RB Leipzig,Germany 1. Bundesliga,CM,Gold,77,84,74,73,79,35,65,2582
Christopher Schindler,Huddersfield Town,England EFL Championship,CB,Gold,76,81,49,66,70,72,65,2587
Christopher Trimmel,1. FC Union Berlin,Germany 1. Bundesliga,RWB,Gold,79,80,76,76,82,48,61,2589
Ciaran Clark,Newcastle United,England Premier League,CB,Gold,75,81,72,72,78,31,62,2604
Ciro Immobile,Lazio,Italy Serie A,ST,Gold,87,82,82,88,86,26,60,2610
Cláudio Falcão,Desportivo Aves,Portugal Liga NOS,CDM,Gold,75,75,71,74,74,64,66,2617
Clément Grenier,Stade Rennais,France Ligue 1,CM,Gold,78,60,37,56,55,76,83,2620
Clément Lenglet,FC Barcelona,Spain Primera Division,CB,Gold,85,67,68,77,78,82,80,2621
Clarence Seedorf,Icons,Icons,CAM,Gold,91,72,87,91,80,64,82,2628
Claude Makélélé,Icons,Icons,CDM,Gold,90,90,83,88,93,41,67,2635
Claudemir,Braga,Portugal Liga NOS,CDM,Gold,77,32,33,51,50,77,79,2638
Claudio Pizarro,Werder Bremen,Germany 1. Bundesliga,ST,Gold,75,81,65,70,78,39,47,2649
Clinton Mata,Club Brugge,Belgium Jupiler Pro League,RB,Gold,75,66,65,69,71,72,76,2670
Coke,Levante UD,Spain Primera Division,RB,Gold,78,72,46,69,72,79,76,2675
Conor Coady,Wolverhampton Wanderers,England Premier League,CB,Gold,77,59,58,79,76,65,66,2708
Corentin Tolisso,Bayern München,Germany 1. Bundesliga,CM,Gold,85,84,48,65,70,84,83,2731
Cote,SD Eibar,Spain Primera Division,LB,Gold,79,75,40,59,64,79,80,2749
Coutinho,Bayern München,Germany 1. Bundesliga,CAM,Gold,87,93,82,79,87,43,68,2752
Craig Cathcart,Watford,England Premier League,CB,Gold,76,76,72,69,77,70,82,2756
Craig Dawson,Watford,England Premier League,CB,Gold,75,63,52,65,71,72,81,2759
Cristhian Stuani,Girona FC,Spain Segunda A,ST,Gold,79,84,77,72,81,45,79,2778
Cristian Ansaldi,Torino,Italy Serie A,LM,Gold,78,86,78,68,81,36,55,2784
Cristian Borja,Sporting CP,Portugal Liga NOS,LB,Gold,75,52,20,44,54,75,80,2790
Cristian Pavón,Los Angeles Galaxy,USA Major League Soccer,RW,Gold,79,84,79,78,83,40,71,2824
Cristian Tello,Real Betis Balompié,Spain Primera Division,LM,Gold,80,77,62,74,79,80,75,2832
Cristian Zapata,Genoa,Italy Serie A,CB,Gold,78,54,50,62,59,78,75,2835
Cristiano Biraghi,Inter,Italy Serie A,LB,Gold,75,71,42,60,63,74,72,2836
Cristiano Piccini,Valencia CF,Spain Primera Division,RB,Gold,77,90,70,69,81,37,66,2840
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,LW,Gold,94,91,94,84,90,36,80,2842
Cucurella,Getafe CF,Spain Primera Division,LM,Gold,75,68,62,69,75,71,78,2846
Cyriel Dessers,Heracles Almelo,Holland Eredivisie,ST,Gold,76,81,74,70,79,33,73,2860
Dídac Vilà,RCD Espanyol,Spain Primera Division,LB,Gold,75,71,68,73,73,76,75,2881
Dakonam Djené,Getafe CF,Spain Primera Division,CB,Gold,83,89,81,72,85,41,71,2905
Dalbert,Fiorentina,Italy Serie A,LB,Gold,76,71,54,71,74,75,76,2906
Dale Stephens,Brighton & Hove Albion,England Premier League,CM,Gold,76,75,58,71,78,73,68,2908
Daley Blind,Ajax,Holland Eredivisie,CB,Gold,85,73,74,80,80,83,81,2910
Dame N'Doye,FC København,Denmark Superliga,ST,Gold,75,44,77,61,67,44,80,2916
Damián Suárez,Getafe CF,Spain Primera Division,RB,Gold,79,64,59,77,78,68,66,2921
Damien Da Silva,Stade Rennais,France Ligue 1,CB,Gold,78,63,35,47,57,81,75,2934
Damien Le Tallec,Montpellier HSC,France Ligue 1,CDM,Gold,75,71,62,73,76,61,65,2935
Dan Gosling,Bournemouth,England Premier League,CM,Gold,75,65,40,53,59,77,70,2945
Dan-Axel Zagadou,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold,79,83,78,68,77,41,82,2954
Dani Ceballos,Arsenal,England Premier League,CM,Gold,81,69,73,76,79,78,88,2960
Dani García,Athletic Club de Bilbao,Spain Primera Division,CM,Gold,81,68,33,48,65,83,75,2964
Dani Olmo,Dinamo Zagreb,Croatia PRva HNL,CAM,Gold,79,85,77,75,79,51,77,2968
Daniel Baier,FC Augsburg,Germany 1. Bundesliga,CDM,Gold,77,63,64,56,63,80,69,2990
Daniel Bessa,Hellas Verona,Italy Serie A,CAM,Gold,75,89,71,60,76,38,69,2997
Daniel Brosinski,1. FSV Mainz 05,Germany 1. Bundesliga,RB,Gold,75,55,41,51,63,76,72,3004
Daniel Caligiuri,FC Schalke 04,Germany 1. Bundesliga,RWB,Gold,79,82,76,67,75,27,74,3007
Daniel Candeias,Gençlerbirliği SK,Turkey Süper Lig,ST,Gold,79,48,69,84,82,66,60,3008
Daniel Carriço,Sevilla FC,Spain Primera Division,CB,Gold,78,67,72,77,71,78,83,3012
Daniel Congré,Montpellier HSC,France Ligue 1,CB,Gold,75,33,33,52,57,76,73,3016
Daniel Didavi,VfB Stuttgart,Germany 2. Bundesliga,CAM,Gold,78,75,74,78,77,61,70,3020
Daniel Ginczek,VfL Wolfsburg,Germany 1. Bundesliga,ST,Gold,78,76,61,71,73,78,71,3026
Daniel Podence,Olympiacos CFP,Greece A'Ethniki,LM,Gold,78,50,63,71,69,76,84,3065
Daniel Royer,New York Red Bulls,USA Major League Soccer,LM,Gold,75,79,73,75,79,69,74,3073
Daniel Schwaab,PSV,Holland Eredivisie,CB,Gold,78,64,47,58,63,80,67,3075
Daniel Torres,Deportivo Alavés,Spain Primera Division,CDM,Gold,75,62,64,71,71,74,74,3082
Daniel Wass,Valencia CF,Spain Primera Division,CM,Gold,83,55,63,84,81,70,73,3086
Daniele Baselli,Torino,Italy Serie A,CM,Gold,79,62,78,70,71,51,85,3091
Daniele De Rossi,Buenos Aires,Argentina Primera División ,CDM,Gold,82,80,78,76,83,58,72,3092
Daniele Rugani,Piemonte Calcio,Italy Serie A,CB,Gold,82,50,53,64,70,81,84,3097
Danilo,Piemonte Calcio,Italy Serie A,RB,Gold,86,68,61,67,70,85,85,3106
Danilo Cataldi,Lazio,Italy Serie A,CM,Gold,75,56,38,50,56,74,79,3114
Danilo D'Ambrosio,Inter,Italy Serie A,RB,Gold,75,90,66,69,75,59,71,3115
Danilo Pereira,FC Porto,Portugal Liga NOS,CDM,Gold,83,91,72,77,87,66,67,3118
Danny da Costa,Eintracht Frankfurt,Germany 1. Bundesliga,RWB,Gold,79,64,68,80,81,63,66,3132
Danny Drinkwater,Burnley,England Premier League,CM,Gold,77,73,68,75,77,74,73,3133
Danny Ings,Southampton,England Premier League,ST,Gold,76,71,68,74,76,46,53,3141
Danny Latza,1. FSV Mainz 05,Germany 1. Bundesliga,CM,Gold,77,32,61,62,58,77,81,3143
Danny Rose,Tottenham Hotspur,England Premier League,LB,Gold,80,86,81,70,76,32,73,3151
Danny Welbeck,Watford,England Premier League,ST,Gold,78,76,75,67,81,54,66,3159
Dante,OGC Nice,France Ligue 1,CB,Gold,79,85,50,63,70,79,75,3164
Darío Benedetto,Olympique de Marseille,France Ligue 1,ST,Gold,82,50,53,64,70,81,84,3171
Darío Cvitanich,Racing Club de Avellaneda,Argentina Primera División ,ST,Gold,77,65,71,75,79,67,74,3176
Darko Brašanac,CA Osasuna,Spain Primera Division,CM,Gold,75,77,57,69,71,72,72,3192
Darlington Nagbe,Atlanta United FC,USA Major League Soccer,CM,Gold,75,79,65,71,76,53,74,3197
Darwin Machís,Granada CF,Spain Primera Division,LM,Gold,75,74,74,61,76,34,70,3216
Darwin Quintero,Minnesota United FC,USA Major League Soccer,CF,Gold,76,85,72,65,80,29,57,3217
Daryl Janmaat,Watford,England Premier League,RB,Gold,77,56,37,52,58,76,77,3220
David Abraham,Eintracht Frankfurt,Germany 1. Bundesliga,CB,Gold,78,78,54,68,68,76,79,3225
David Alaba,Bayern München,Germany 1. Bundesliga,LB,Gold,85,75,71,78,84,85,84,3228
David Barbona,Racing Club de Avellaneda,Argentina Primera División ,RM,Gold,75,73,66,71,75,70,78,3235
David Brooks,Bournemouth,England Premier League,RM,Gold,77,90,74,69,77,45,60,3241
David López,RCD Espanyol,Spain Primera Division,CB,Gold,78,34,49,61,49,80,77,3280
David Luiz,Arsenal,England Premier League,CB,Gold,83,61,73,84,82,77,70,3285
David Neres,Ajax,Holland Eredivisie,LW,Gold,84,93,82,78,88,49,71,3295
David Silva,Manchester City,England Premier League,CAM,Gold,88,73,81,90,84,53,63,3313
David Trezeguet,Icons,Icons,ST,Gold,91,83,80,82,85,90,91,3321
David Villa,Vissel Kobe,Japan J1 League,ST,Gold,90,80,67,79,82,88,84,3326
David Zurutuza,Real Sociedad,Spain Primera Division,CM,Gold,76,73,51,70,75,75,72,3334
Davide Calabria,Milan,Italy Serie A,RB,Gold,77,71,77,66,73,36,73,3339
Davide Santon,Roma,Italy Serie A,RB,Gold,75,50,44,60,62,75,71,3350
Davide Zappacosta,Roma,Italy Serie A,RB,Gold,79,89,75,73,79,38,64,3352
Davidson,Vitória Guimarães,Portugal Liga NOS,LM,Gold,76,80,69,72,77,51,67,3353
Davie Selke,Hertha BSC,Germany 1. Bundesliga,ST,Gold,78,73,78,70,73,33,80,3354
Davinson Sánchez,Tottenham Hotspur,England Premier League,CB,Gold,83,65,63,72,74,82,85,3356
Davy Klaassen,Werder Bremen,Germany 1. Bundesliga,CM,Gold,80,77,43,74,75,75,81,3365
Davy Pröpper,Brighton & Hove Albion,England Premier League,CM,Gold,77,76,75,76,78,74,78,3366
Dayot Upamecano,RB Leipzig,Germany 1. Bundesliga,CB,Gold,77,85,64,68,72,70,77,3373
De Marcos,Athletic Club de Bilbao,Spain Primera Division,RB,Gold,78,71,66,80,79,77,66,3380
De Tomás,SL Benfica,Portugal Liga NOS,ST,Gold,79,93,70,71,84,29,63,3381
DeAndre Yedlin,Newcastle United,England Premier League,RWB,Gold,76,66,61,72,74,69,73,3394
Declan Rice,West Ham United,England Premier League,CDM,Gold,78,91,77,59,78,35,80,3397
Deco,Icons,Icons,CM,Gold,90,83,91,74,83,40,84,3398
Dedryck Boyata,Hertha BSC,Germany 1. Bundesliga,CB,Gold,76,84,69,71,75,72,76,3401
Dejan Lovren,Liverpool,England Premier League,CB,Gold,80,55,58,73,79,75,83,3412
Dele Alli,Tottenham Hotspur,England Premier League,CAM,Gold,87,66,61,86,91,81,67,3419
Demarai Gray,Leicester City,England Premier League,LW,Gold,75,75,75,71,73,38,67,3424
Denis Bouanga,AS Saint-Étienne,France Ligue 1,LM,Gold,81,71,38,51,51,83,82,3434
Denis Cheryshev,Valencia CF,Spain Primera Division,LW,Gold,82,81,78,77,84,44,73,3437
Denis Suárez,RC Celta de Vigo,Spain Primera Division,CM,Gold,78,56,37,52,58,76,77,3452
Denis Zakaria,Borussia M'gladbach,Germany 1. Bundesliga,CM,Gold,78,71,74,77,79,67,68,3457
Deniz Türüç,Fenerbahçe,Turkey Süper Lig,RM,Gold,76,86,73,70,80,28,65,3460
Dennis Bergkamp,Icons,Icons,CF,Gold,92,84,91,86,90,37,78,3464
Dennis Praet,Leicester City,England Premier League,CM,Gold,76,72,75,72,74,40,67,3481
Denys Garmash,Dynamo Kyiv,Ukraine Premier Liga,CM,Gold,76,73,70,76,78,33,60,3490
Denzel Dumfries,PSV,Holland Eredivisie,RB,Gold,82,91,74,75,85,39,61,3492
Deulofeu,Watford,England Premier League,RF,Gold,80,76,79,58,78,33,72,3507
Diadie Samassékou,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CDM,Gold,79,92,76,73,82,42,72,3514
Didier Drogba,Icons,Icons,ST,Gold,91,76,86,92,87,61,78,3521
Diego Biseswar,PAOK FC,Greece A'Ethniki,CAM,Gold,76,71,59,73,75,74,67,3537
Diego Buonanotte,Universidad Católica,Chile Campeonato Nacional Scotiabank,CAM,Gold,75,82,66,69,74,71,71,3539
Diego Carlos,Sevilla FC,Spain Primera Division,CB,Gold,79,71,61,74,78,71,77,3542
Diego Castro,Perth Glory,Australia Hyundai A-League,CAM,Gold,76,66,76,68,80,27,62,3544
Diego Chará,Portland Timbers,USA Major League Soccer,CDM,Gold,75,71,73,60,70,39,80,3546
Diego Costa,Atlético de Madrid,Spain Primera Division,ST,Gold,83,71,27,59,58,83,81,3549
Diego Demme,RB Leipzig,Germany 1. Bundesliga,CDM,Gold,78,75,74,78,81,47,74,3554
Diego Godín,Inter,Italy Serie A,CB,Gold,88,93,79,78,89,45,57,3564
Diego Laxalt,Torino,Italy Serie A,LM,Gold,84,79,85,80,81,42,77,3572
Diego Llorente,Real Sociedad,Spain Primera Division,CB,Gold,77,61,42,53,51,74,79,3574
Diego Maradona,Icons,Icons,CAM,Gold,97,92,93,92,97,40,76,3576
Diego Perotti,Roma,Italy Serie A,LW,Gold,80,70,67,79,76,78,74,3587
Diego Reyes,Fenerbahçe,Turkey Süper Lig,CB,Gold,76,87,74,68,77,33,62,3590
Diego Valdés,Santos Laguna,Mexico Liga MX,CAM,Gold,75,83,73,68,76,48,73,3603
Diego Valeri,Portland Timbers,USA Major League Soccer,CAM,Gold,79,79,54,76,77,74,76,3607
Dieumerci Mbokani,Antwerp,Belgium Jupiler Pro League,ST,Gold,78,75,62,77,79,76,70,3614
Dimitri Payet,Olympique de Marseille,France Ligue 1,CAM,Gold,86,79,76,80,86,79,80,3626
Dimitrios Pelkas,PAOK FC,Greece A'Ethniki,CAM,Gold,75,70,73,55,69,35,79,3637
Dimitrios Siovas,CD Leganés,Spain Primera Division,CB,Gold,76,77,37,67,61,76,79,3638
Diogo Dalot,Manchester United,England Premier League,RB,Gold,75,83,60,71,76,65,72,3655
Diogo Jota,Wolverhampton Wanderers,England Premier League,LF,Gold,80,67,75,82,83,59,58,3657
Diogo Viana,Braga,Portugal Liga NOS,RB,Gold,76,57,64,74,70,71,78,3660
Divock Origi,Liverpool,England Premier League,ST,Gold,78,88,75,71,82,34,62,3670
Djaniny,Al Ahli,Saudi Dawry Jameel League,ST,Gold,78,76,73,76,80,43,61,3677
Djibril Sidibé,Everton,England Premier League,RB,Gold,77,79,65,72,74,72,77,3682
Dmytro Chygrynskyi,AEK Athens,Greece A'Ethniki,CB,Gold,76,73,47,66,68,76,75,3691
Dodi Lukébakio,Hertha BSC,Germany 1. Bundesliga,ST,Gold,75,58,74,61,65,32,72,3695
Domagoj Vida,Beşiktaş,Turkey Süper Lig,CB,Gold,83,68,77,79,80,68,74,3701
Domenico Berardi,Sassuolo,Italy Serie A,RW,Gold,78,64,61,75,74,76,78,3705
Domenico Criscito,Genoa,Italy Serie A,LB,Gold,79,64,47,58,63,80,67,3706
Dominic Calvert-Lewin,Everton,England Premier League,ST,Gold,77,75,69,74,82,57,51,3715
Dominick Drexler,1. FC Köln,Germany 1. Bundesliga,CAM,Gold,75,69,73,73,76,46,53,3726
Dominik Kohr,Eintracht Frankfurt,Germany 1. Bundesliga,CDM,Gold,76,75,69,73,80,34,69,3739
Dominique Heintz,SC Freiburg,Germany 1. Bundesliga,CB,Gold,76,81,72,50,77,30,68,3757
Donny van de Beek,Ajax,Holland Eredivisie,CDM,Gold,84,81,54,72,75,84,84,3767
Donyell Malen,PSV,Holland Eredivisie,ST,Gold,81,52,37,52,56,82,80,3772
Dorlan Pabón,Monterrey,Mexico Liga MX,RW,Gold,76,57,77,71,72,43,68,3780
Douglas Costa,Piemonte Calcio,Italy Serie A,LM,Gold,84,84,80,83,88,48,66,3786
Dries Mertens,Napoli,Italy Serie A,ST,Gold,88,75,86,72,79,55,83,3796
Dušan Basta,Lazio,Italy Serie A,RB,Gold,76,83,71,71,75,69,73,3806
Dušan Tadić,Ajax,Holland Eredivisie,CAM,Gold,84,88,72,77,90,36,60,3808
Duje Ćaleta-Car,Olympique de Marseille,France Ligue 1,CB,Gold,76,66,73,79,78,54,67,3813
Duván Vergara,América de Cali,Colombia Liga Aguila,LW,Gold,76,64,46,56,57,75,82,3821
Duván Zapata,Atalanta,Italy Serie A,ST,Gold,84,90,82,75,85,43,69,3824
Dwight Gayle,Newcastle United,England Premier League,ST,Gold,76,50,77,75,73,41,73,3828
Dyego Sousa,Shenzhen FC,China Super League,ST,Gold,79,80,81,65,69,34,77,3830
Dylan Bronn,AA Gent,Belgium Jupiler Pro League,CB,Gold,75,92,74,64,79,45,63,3832
Eddy Gnahoré,Amiens SC,France Ligue 1,CM,Gold,75,67,38,54,60,75,77,3869
Eden Hazard,Real Madrid,Spain Primera Division,LF,Gold,92,92,85,88,95,36,67,3872
Edin Džeko,Roma,Italy Serie A,ST,Gold,87,81,87,65,82,40,77,3892
Edin Višća,Medipol Başakşehir,Turkey Süper Lig,RM,Gold,84,72,51,52,61,84,83,3894
Edinson Cavani,Paris Saint-Germain,France Ligue 1,ST,Gold,88,83,61,85,82,87,80,3895
Edson Álvarez,Ajax,Holland Eredivisie,CB,Gold,76,82,76,73,75,34,64,3904
Edu Expósito,SD Eibar,Spain Primera Division,CM,Gold,76,80,66,71,76,75,72,3908
Eduardo Henrique,Sporting CP,Portugal Liga NOS,CM,Gold,76,78,60,69,73,74,82,3922
Eduardo Salvio,Buenos Aires,Argentina Primera División ,RM,Gold,80,39,83,67,70,41,70,3928
Eduardo Vargas,Tigres U.A.N.L.,Mexico Liga MX,CAM,Gold,77,73,80,71,80,35,66,3931
Edwin Cardona,Pachuca,Mexico Liga MX,CAM,Gold,76,74,56,68,71,74,72,3936
Elías Hernández,Cruz Azul,Mexico Liga MX,RM,Gold,76,66,51,64,71,77,75,3965
Eliaquim Mangala,Valencia CF,Spain Primera Division,CB,Gold,76,87,75,67,74,39,74,3974
Eljero Elia,Medipol Başakşehir,Turkey Süper Lig,LM,Gold,77,63,73,79,76,68,67,3989
Eljif Elmas,Napoli,Italy Serie A,CAM,Gold,78,51,49,58,56,77,87,3990
Elkeson,Guangzhou Evergrande Taobao,China Super League,ST,Gold,79,76,67,74,73,78,76,3993
Ellyes Skhiri,1. FC Köln,Germany 1. Bundesliga,CDM,Gold,78,91,56,68,74,71,80,4008
Elseid Hysaj,Napoli,Italy Serie A,RB,Gold,80,66,73,78,83,50,60,4013
Emanuele Giaccherini,Chievo Verona,Italy Serie B,CAM,Gold,75,71,51,68,72,73,75,4047
Embarba,Rayo Vallecano,Spain Segunda A,RM,Gold,76,62,58,71,74,70,75,4050
Emerson,Chelsea,England Premier League,LB,Gold,77,69,74,78,75,65,70,4051
Emil Forsberg,RB Leipzig,Germany 1. Bundesliga,CAM,Gold,82,91,74,75,85,39,61,4059
Emiliano Velázquez,Rayo Vallecano,Spain Segunda A,CB,Gold,75,60,68,77,72,63,54,4080
Emilio Butragueño,Icons,Icons,ST,Gold,92,94,90,80,92,41,68,4081
Emmanuel Badu,Hellas Verona,Italy Serie A,CDM,Gold,75,73,71,72,76,43,59,4091
Emmanuel Boateng,Dalian Yifang,China Super League,ST,Gold,77,76,78,60,74,41,69,4094
Emmanuel Dennis,Club Brugge,Belgium Jupiler Pro League,RW,Gold,75,75,61,75,75,69,75,4097
Emmanuel Gigliotti,Toluca,Mexico Liga MX,ST,Gold,76,72,74,68,72,41,68,4101
Emmanuel Mas,Buenos Aires,Argentina Primera División ,LB,Gold,75,70,67,72,75,76,78,4106
Emmanuel Petit,Icons,Icons,CDM,Gold,90,87,83,84,94,40,60,4112
Emre Çolak,Al Wehda,Saudi Dawry Jameel League,CAM,Gold,75,57,55,60,58,76,72,4117
Emre Akbaba,Galatasaray,Turkey Süper Lig,CAM,Gold,77,91,56,68,74,71,80,4118
Emre Belözoğlu,Fenerbahçe,Turkey Süper Lig,CM,Gold,78,74,76,71,75,44,81,4120
Emre Can,Piemonte Calcio,Italy Serie A,CM,Gold,81,86,80,75,82,53,81,4121
Enes Ünal,Real Valladolid,Spain Primera Division,ST,Gold,77,55,63,77,74,75,66,4131
Enis Bardhi,Levante UD,Spain Primera Division,CM,Gold,78,87,73,71,83,43,66,4133
Enner Valencia,Tigres U.A.N.L.,Mexico Liga MX,ST,Gold,76,70,55,65,67,75,77,4134
Enzo Pérez,Núñez,Argentina Primera División ,CDM,Gold,79,85,64,72,74,75,76,4154
Eran Zahavi,Guangzhou R&F,China Super League,CF,Gold,81,85,61,77,80,75,69,4164
Eric Bailly,Manchester United,England Premier League,CB,Gold,80,60,81,61,79,35,67,4182
Eric Botteghin,Feyenoord,Holland Eredivisie,CB,Gold,75,63,74,70,71,43,69,4185
Eric Dier,Tottenham Hotspur,England Premier League,CDM,Gold,79,75,69,77,84,45,62,4189
Eric Maxim Choupo-Moting,Paris Saint-Germain,France Ligue 1,ST,Gold,76,81,67,71,80,46,61,4197
Erick Cabaco,Levante UD,Spain Primera Division,CB,Gold,75,86,75,62,71,38,71,4209
Erick Pulgar,Fiorentina,Italy Serie A,CDM,Gold,78,91,77,59,78,35,80,4213
Erik Expósito,Śląsk Wrocław,Poland Ekstraklasa,ST,Gold,75,79,72,67,77,43,64,4222
Erik Lamela,Tottenham Hotspur,England Premier League,RM,Gold,80,86,72,74,82,34,64,4233
Erling Braut Håland,Red Bull Salzburg,Austria Bundesliga,ST,Gold,82,91,74,75,85,39,61,4254
Ermin Bičakčić,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CB,Gold,77,65,31,52,63,77,78,4261
Escudero,Sevilla FC,Spain Primera Division,LB,Gold,79,71,70,74,74,78,76,4280
Etienne Capoue,Watford,England Premier League,CDM,Gold,80,90,73,78,81,57,74,4300
Eugenio Mena,Racing Club de Avellaneda,Argentina Primera División ,LB,Gold,76,56,78,55,67,38,77,4305
Eusébio,Icons,Icons,CF,Gold,93,94,94,86,93,45,79,4308
Evan N'Dicka,Eintracht Frankfurt,Germany 1. Bundesliga,CB,Gold,76,61,74,77,77,47,71,4312
Exequiel Palacios,Núñez,Argentina Primera División ,CM,Gold,77,63,70,75,68,73,85,4326
Ezequiel Ávila,CA Osasuna,Spain Primera Division,ST,Gold,75,76,69,71,78,39,56,4328
Ezequiel Garay,Valencia CF,Spain Primera Division,CB,Gold,83,74,76,83,81,55,50,4334
Ezequiel Lavezzi,Hebei China Fortune,China Super League,ST,Gold,79,63,61,71,74,80,68,4337
Ezequiel Ponce,Spartak Moskva,Russia FUT League,ST,Gold,75,69,70,74,76,40,57,4341
Fabián,Napoli,Italy Serie A,CM,Gold,83,75,80,82,87,41,66,4357
Fabián Balbuena,West Ham United,England Premier League,CB,Gold,79,72,81,60,74,35,71,4359
Fabián Castillo,Gallos Blancos de Querétaro,Mexico Liga MX,LM,Gold,75,67,68,71,82,37,61,4361
Fabián Orellana,SD Eibar,Spain Primera Division,RM,Gold,82,80,80,73,84,58,70,4368
Fabian Delph,Everton,England Premier League,LB,Gold,77,79,79,60,71,36,77,4376
Fabian Johnson,Borussia M'gladbach,Germany 1. Bundesliga,LM,Gold,76,58,63,73,75,74,73,4382
Fabian Lustenberger,BSC Young Boys,Switzerland Super League,CB,Gold,76,86,69,67,80,38,53,4387
Fabian Schär,Newcastle United,England Premier League,CB,Gold,79,72,68,76,78,72,72,4392
Fabinho,Liverpool,England Premier League,CDM,Gold,86,85,80,84,84,40,82,4403
Fabio Borini,Milan,Italy Serie A,LW,Gold,76,75,71,67,75,39,75,4409
Fabio Cannavaro,Icons,Icons,CB,Gold,92,90,80,90,91,44,67,4411
Fabio Quagliarella,Sampdoria,Italy Serie A,ST,Gold,83,84,54,74,77,81,89,4424
Fabrício,Urawa Red Diamonds,Japan J1 League,ST,Gold,75,74,74,59,72,33,77,4429
Fabricio Bustos,Independiente,Argentina Primera División ,RB,Gold,77,69,71,76,78,71,68,4433
